Date,Close,High,Low,Open,Volume,Tomorrow,Target,MA_5,MA_20,MA_50,Volatility_5,Volatility_20,Price_Change_1d,Price_Change_5d,Volume_Change_1d,Vs_MA_5,Vs_MA_20
2023-12-01,238.8300018310547,240.19000244140625,231.8999938964844,233.13999938964844,121331700,235.5800018310547,0,241.1700012207031,231.61550064086913,234.83080017089844,4.248387303528557,10.549501121941736,-0.005206597761023168,0.014355510412495498,-0.08327339270980982,-0.00970269676080903,0.031148611255392557
2023-12-04,235.5800018310547,239.3699951171875,233.2899932861328,235.75,104099800,238.72000122070312,1,241.07000122070312,232.39650039672853,234.64480010986327,4.40128328197524,10.214064151032412,-0.01360800559009756,-0.00211792611030992,-0.14202306569511514,-0.022773465640058038,0.013698577340414094
2023-12-05,238.72000122070312,246.66000366210935,233.6999969482422,233.8699951171875,137971100,239.3699951171875,1,239.47000122070312,233.36900024414064,234.47940002441408,3.0937508833444203,9.816692728132358,0.013328802806870987,-0.03242542137004778,0.3253733436567601,-0.003131916299231052,0.022929356388228517
2023-12-06,239.3699951171875,246.57000732421875,239.1699981689453,242.9199981689453,126436200,242.63999938964844,1,238.51600036621093,234.22850036621094,234.38440002441405,1.727404721229609,9.533941875871758,0.002722829646282676,-0.01953798756609315,-0.08360374020356443,0.0035804505763360446,0.02195076492799959
2023-12-07,242.63999938964844,244.0800018310547,236.97999572753903,241.5500030517578,107142300,243.83999633789065,1,239.0279998779297,235.25500030517577,234.42720001220704,2.509295625618108,9.26182357613102,0.01366087788429815,0.010663102045439077,-0.15259791104129983,0.015111198326402675,0.03139146489933371
2023-12-08,243.83999633789065,245.2700042724609,239.2700042724609,240.2700042724609,103126800,239.7400054931641,0,240.02999877929688,236.94800033569337,234.3763998413086,3.2894663647539715,7.281546472410759,0.0049455858525417895,0.02097724100165599,-0.037478194886613414,0.015873005782485548,0.029086533722306716
2023-12-11,239.7400054931641,243.44000244140625,237.4499969482422,242.7400054931641,97913900,237.00999450683597,0,240.86199951171875,238.20250091552734,234.16679992675782,2.241810263619344,5.060248741067024,-0.01681426716823431,0.017658560275811253,-0.05054845103309713,-0.004658244226275595,0.006454611398819826
2023-12-12,237.00999450683597,238.9900054931641,233.8699951171875,238.5500030517578,95328300,239.2899932861328,1,240.5199981689453,238.86750030517578,233.87499969482423,2.7279944244311514,3.7631273996427534,-0.011387381846063915,-0.007163231841165296,-0.02640687379422124,-0.014593396344714151,-0.00777630190782202
2023-12-13,239.2899932861328,240.3000030517578,228.1999969482422,234.19000244140625,146286300,251.0500030517578,1,240.50399780273438,238.96149978637695,233.73019958496093,2.7366466365337376,3.7482551343959387,0.009619842336358042,-0.00033421829254542956,0.5345526984116993,-0.005047751919688713,0.0013746712338578663
2023-12-14,251.0500030517578,253.8800048828125,240.7899932861328,241.22000122070312,160829200,253.5,1,242.18599853515624,239.37200012207032,233.5279995727539,5.533241158371807,4.557572528411646,0.04914543063053567,0.03466041742196024,0.09941395742458448,0.03659998748984182,0.048786002221363284
2023-12-15,253.5,254.1300048828125,248.3000030517578,251.2100067138672,135932800,252.0800018310547,0,244.1179992675781,240.36750030517578,233.39699981689452,7.567608888074289,5.336104829033075,0.009758999874367902,0.03961615734575141,-0.1548002477162107,0.03843223670753692,0.054635088679421774
2023-12-18,252.0800018310547,258.739990234375,251.3600006103516,253.77999877929688,116416500,257.2200012207031,1,246.58599853515625,241.25650024414062,233.22799987792968,7.791764410895883,5.73799906177674,-0.005601570686174839,0.0514724120094443,-0.14357314790837827,0.02228027271838448,0.04486304649185067
2023-12-19,257.2200012207031,258.3399963378906,253.00999450683597,253.47999572753903,106737400,247.13999938964844,0,250.62799987792968,242.3375,233.17899963378906,6.755361874661468,6.589602094242634,0.0203903496997484,0.08527069398874754,-0.08314199447672799,0.02630193492340891,0.061412291620996005
2023-12-20,247.13999938964844,259.8399963378906,247.0,256.4100036621094,125097000,254.5,1,252.1980010986328,242.6345001220703,232.84939971923828,3.6684768977088624,6.669017781357199,-0.03918825045959673,0.03280540901737128,0.17200718773363421,-0.020055677233564655,0.018569079274840954
2023-12-21,254.5,254.8000030517578,248.5500030517578,251.8999938964844,109594200,252.5399932861328,0,252.88800048828125,243.64899978637695,232.67959991455078,3.722623222735079,6.8605430657524575,0.029780693649462897,0.013742270090834952,-0.12392623324300345,0.006374361411400576,0.044535377625751944
2023-12-22,252.5399932861328,258.2200012207031,251.3699951171875,256.760009765625,93370100,256.6099853515625,1,252.6959991455078,244.50349960327148,232.5529998779297,3.7078948766805344,6.849881639835458,-0.007701401626197146,-0.0037870087332039226,-0.1480379436138044,-0.0006173657671769011,0.03286862435875664
2023-12-26,256.6099853515625,257.9700012207031,252.91000366210935,254.4900054931641,86892400,261.44000244140625,1,253.60199584960938,245.52999877929688,232.6627996826172,4.056772820130992,7.056293802820588,0.01611622781987765,0.01797042005554972,-0.06937659914683614,0.01186106399468919,0.04512681394270381
2023-12-27,261.44000244140625,263.3399963378906,257.5199890136719,258.3500061035156,106494400,253.17999267578125,0,254.44599609375,246.26599884033203,232.8131997680664,5.258619715853582,7.903738460286631,0.018822405072142834,0.016406193922230194,0.225589349586385,0.027487193569669353,0.061616315985676816
2023-12-28,253.17999267578125,265.1300048828125,252.7100067138672,263.6600036621094,113619900,248.47999572753903,0,255.65399475097655,246.71799850463867,232.7797994995117,3.589609947421759,8.033187459681587,-0.03159428430420175,0.024439561791088193,0.06690962153878521,-0.009677150077803941,0.02619182309482412
2023-12-29,248.47999572753903,255.19000244140625,247.42999267578125,255.1000061035156,100891600,248.4199981689453,0,254.4499938964844,247.13799819946288,232.89579956054686,4.858694940861881,7.886108886374268,-0.018563856087400077,-0.02365424075623168,-0.11202527022114961,-0.023462363183919248,0.005430154560825708
2024-01-02,248.4199981689453,251.25,244.41000366210935,250.0800018310547,104654200,238.4499969482422,0,253.62599487304686,247.61749801635742,233.46199951171874,5.562048640179553,7.642147234643804,-0.00024145830499577858,-0.016314228346872017,0.03729349123217385,-0.020526274156982317,0.0032408862823373
2024-01-03,238.4499969482422,245.67999267578125,236.32000732421875,244.97999572753903,121082600,237.92999267578125,0,249.9939971923828,247.7609977722168,233.99119934082032,8.354567887972246,7.42816755255429,-0.04013364984377277,-0.07076882989740496,0.15697793304043217,-0.04617710974578697,-0.03758057526283791
2024-01-04,237.92999267578125,242.6999969482422,237.72999572753903,239.25,102629300,237.4900054931641,0,245.2919952392578,247.72149734497071,234.50819915771484,6.76720539364105,7.480689622988239,-0.0021807686270334248,-0.08992506711322434,-0.15240257477127184,-0.030013219780350573,-0.039526261443325855
2024-01-05,237.4900054931641,240.1199951171875,234.8999938964844,236.8600006103516,92488900,240.4499969482422,1,242.15399780273438,247.62749786376952,234.92759918212892,5.757509796785158,7.601982932027081,-0.0018492295892124089,-0.06197167089229494,-0.09880609143782526,-0.019260439025952866,-0.040938475969185366
2024-01-08,240.4499969482422,241.25,235.3000030517578,236.13999938964844,85166600,234.9600067138672,0,240.547998046875,247.51799774169922,235.48819915771483,4.543810882086824,7.692834390748441,0.012463646412957274,-0.032316479867062764,-0.07916950034004078,-0.00040740766677970684,-0.028555502460200652
2024-01-09,234.9600067138672,238.9600067138672,232.0399932861328,238.1100006103516,96705700,233.94000244140625,0,237.8559997558594,247.07399826049806,236.07219940185547,1.9753389930858027,8.158453968119947,-0.02283214932024613,-0.054182398978701585,0.13548856006932297,-0.01217540463542946,-0.04902981144077614
2024-01-10,233.94000244140625,235.5,231.2899932861328,235.1000061035156,91628500,227.22000122070312,0,236.9540008544922,246.78399810791015,236.60499938964844,2.5749780951654535,8.527600533571789,-0.004341182513256769,-0.01891379561566897,-0.05250155885330443,-0.012719761650856311,-0.052045496324634725
2024-01-11,227.22000122070312,230.92999267578125,225.3699951171875,230.57000732421875,105873600,218.88999938964844,0,234.81200256347657,246.29449844360352,237.20219940185547,4.934051433764624,9.358660710877194,-0.028725319101363445,-0.04501320466004577,0.15546582122374586,-0.03233225414327406,-0.07744589239076352
2024-01-12,218.88999938964844,225.33999633789065,217.1499938964844,220.0800018310547,123043800,219.91000366210935,1,231.09200134277344,245.2744987487793,237.56319946289062,8.28441147834217,11.110075001104962,-0.036660513098772496,-0.07831911100802524,0.1621764065829443,-0.052801489805897946,-0.10757131089341257
2024-01-16,219.91000366210935,223.4900054931641,212.17999267578125,215.1000061035156,115355000,215.5500030517578,0,226.98400268554687,243.71749877929688,237.84819946289062,7.5434179870512725,12.368801471576067,0.004659894354722027,-0.08542313806123336,-0.0624883171683579,-0.031165187589177874,-0.0976847999689463
2024-01-17,215.5500030517578,215.6699981689453,212.00999450683597,214.8600006103516,103164400,211.8800048828125,0,223.102001953125,241.81999893188475,237.78899963378908,7.405786228391921,13.635206209297571,-0.019826295019532925,-0.08260981914997456,-0.10567899094100819,-0.03384998267722365,-0.1086345049878468
2024-01-18,211.8800048828125,217.4499969482422,208.7400054931641,216.8800048828125,108595400,212.19000244140625,1,218.69000244140625,239.80999908447265,237.62739959716797,5.712375684591283,14.943387404796606,-0.017026203279914,-0.09429767174649406,0.05264412917634376,-0.031139958308877686,-0.11646717946828339
2024-01-19,212.19000244140625,213.19000244140625,207.55999755859372,209.9900054931641,102260300,208.8000030517578,0,215.6840026855469,237.55849914550782,237.48579956054687,3.702495510182859,15.561698453073,0.0014630807600990448,-0.06614734045660864,-0.05833672512832033,-0.01619962630809787,-0.1067884196749493
2024-01-22,208.8000030517578,217.8000030517578,206.2700042724609,212.25999450683597,117952500,209.13999938964844,1,213.66600341796874,235.6414993286133,237.2181997680664,4.2303464067161105,16.64317609622541,-0.015976244642273096,-0.04609619610775051,0.15345349074860914,-0.022773863358562303,-0.11390818830015903
2024-01-23,209.13999938964844,215.6499938964844,207.75,211.3000030517578,106605900,207.8300018310547,0,211.51200256347656,233.3734992980957,236.95879974365235,2.733216872708794,17.02431831775869,0.0016283349277841364,-0.048974599122871054,-0.09619635022572648,-0.011214508609818779,-0.10383998175171132
2024-01-24,207.8300018310547,212.72999572753903,206.7700042724609,211.8800048828125,123369900,182.6300048828125,0,209.96800231933594,231.13799972534179,236.91579986572265,1.9502497002757644,17.308177978484036,-0.006263735117226887,-0.03581536122200568,0.15725208454691542,-0.010182506213635398,-0.10084018171821026
2024-01-25,182.6300048828125,193.0,180.05999755859375,189.6999969482422,198076800,183.25,1,204.11800231933594,227.4390007019043,236.2754000854492,12.122414627564087,19.36143631872297,-0.12125293136804816,-0.13804983635042734,0.605552083611967,-0.10527242669613322,-0.197015444496352
2024-01-26,183.25,186.77999877929688,182.1000061035156,185.5,107343200,190.92999267578125,1,198.3300018310547,223.52950057983398,235.4661999511719,14.059012520245695,20.01756458951048,0.0033948152034783963,-0.1363872100873258,-0.45807282831709717,-0.07603489987309348,-0.18019769415378836
2024-01-29,190.92999267578125,191.47999572753903,183.6699981689453,185.6300048828125,125013100,191.58999633789065,1,194.75599975585936,220.417000579834,234.5365997314453,12.960469589744823,20.004181219334882,0.04190991910385411,-0.08558433963023893,0.1646112655482601,-0.01964513075270743,-0.1337782831019547
2024-01-30,191.58999633789065,196.3600006103516,190.6100006103516,195.3300018310547,109982300,187.2899932861328,0,191.24599914550782,217.57250061035157,233.5115997314453,10.166350115715106,19.84786735758438,0.0034567835721344142,-0.08391509564394894,-0.12023379949781265,0.001798715758341707,-0.11941998276240215
